idmembers,surname,first_name,year_of_death
7,Balkan,Aziz,NULL
38,Fahmy,Hassan,NULL
42,Findiklis,"Theoklitos Th.",NULL
76,Hirschhorn,Julio,NULL
83,"Meseguer y Marin",Enrique,NULL
90,Peake,"J. S.",NULL
91,"Pires Xavier",Raul,NULL
117,Smit,"H. P.",NULL
120,Stewart,"Charles M.",NULL
122,Sutton,"L. J.",NULL
123,T'U,"Chang Wang",NULL
132,"Zender Honigman",Jacobo,NULL
18,Börnstein,"Richard Leopold",1913
35,Engler,Arnold,1923
101,Ryder,"Carl H.",1923
3,Angot,"(Charles) Alfred",1924
58,Hartman,"Christian M. A.",1925
21,Brounov,"Peter Ivanovich",1927
5,Askinazy,"Vladimir Osipovic",1928
31,Dongier,Raphaël,1929
41,Figuereido,"Filipe Eduardo de Almeida",1930
88,Palazzo,Luigi,1933
14,Berloty,"(Révérend Père) Bonaventure",1934
51,Girola,"Carlos de Alberti",1934
61,Hiltner,Erhard,1934
32,Dop,Louis,1935
54,"van Gulik",Dirk,1935
86,Nuño,Waldo,1935
119,Sophoterow,"Nikolai Kvintilianovich",1935
126,Wallén,"Axel Wilhelm",1935
107,Schmidt,"Wilhelm Mathäus",1936
129,Wery,"Georges Eugène",1936
108,Schönrock,"Alexander Michajlovič",1937
59,Hergesell,Hugo,1938
81,Melander,Gustaf,1938
63,Holdefleiss,Paul,1940
113,Shutt,"Frank Thomas",1940
118,Smith,"John Warren",1940
121,Stupart,"(Robert) Frédérick",1940
65,Hubert,Henry,1941
28,"La Cour",Dan,1942
80,Mathias,Émile,1942
131,Whipple,"Francis John Welsh",1943
64,Hooker,"Reginald Hawthorn",1944
69,Kessler,"Otto Wilhelm",1945
112,Shaw,"William Napier",1945
97,Rey,Pierre,1946
13,Bergeiro,"José Maria",1947
109,Schubert,Johannes,1947
36,Eredia,Filippo,1948
39,Feige,Rudolf,1948
11,Berce,"Richard Jules",1949
26,Chaptal,Léon,1949
44,Fleischmann,Rudolf,1950
30,Delcambre,Émile,1951
47,Galbis,José,1952
55,Gumiński,Romuald,1952
10,Bates,"Daniel Cross",1954
70,Kincer,"Joseph Burton",1954
2,Åkerman,Ake,1955
16,Birkeland,"Bernt Johannes",1955
27,Connor,"Abraham James",1955
37,"van Everdingen",Ewoud,1955
29,Deij,"Lodewijk Jan Leonardus",1956
87,Okada,Takematsu,1956
89,Patterson,John,1956
8,Bamford,"Alec Joscelyne",1957
74,Korhonen,"Ville Vihtori",1958
103,Sanson,Joseph,1958
62,Hirata,Tokutarō,1960
110,Seelye,"Cassilis James",1960
34,Durst,"Charles Sumner",1961
71,Kiroff,"Kiro T.",1961
130,Westerdijk,Johanna,1961
43,Fisher,"Ronald Aylmer",1962
82,Mercanton,"Paul Louis",1963
93,Proudhomme,Émile,1963
124,Taylor,"Thomas Griffith",1963
9,Barloti,Jānis,1965
22,Bureau,Robert,1965
53,Gomes,"Mário  de Azevedo",1965
92,Poncelet,Lucien,1965
114,Simpson,"George Clarke",1965
128,Wehrlé,Philippe,1965
33,Duckert,"Paul A. O. ",1966
40,Ferraz,"Joaquim de Sampaio",1966
60,Hesselberg,"(Hans) Theodor",1966
75,Koschmieder,Harald,1966
104,Sarle,"Charles Faye",1966
106,Schindler,Pierre,1966
111,Selianinov,"Georgyi Timofeyevich",1966
45,Foley,"James Charles",1967
50,Gillen,"Mathias Joseph",1967
57,Hansen,"Hans Jensen",1968
73,Koloskov,"Pavel Ivanovic",1968
115,Sinelshikov,"Victor Vasilyevich",1968
6,Azzi,Girolamo,1969
25,Carton,Paul,1969
46,"Fontseré i Riba",Eduardo,1970
125,Tiscornia,José,1970
12,Berényi,Dénes,1971
24,"da Câmara","António Pereira de Sousa ",1971
72,Knoch,Karl,1972
127,Walter,Albert,1972
20,Braak,Cornelis,1973
100,Roy,"A. K.",1973
105,Schedler,Anton,1973
96,Réthly,Anton,1975
99,Roncali,Giorgio,1975
49,Geslin,Henri,1976
78,Lugeon,Jean,1976
102,"Sabucedo del Arenal",Serafin,1976
94,Putnam,"Donald Fulton",1977
1,Agostinho,José,1978
17,"de Boer","Herman Johannes",1978
68,Keränen,Jaakko,1979
95,Ramdas,"Lakshminarayanapuram Ananthakrishnaiyer",1979
4,Ångstrøm,"Anders Knutsson",1981
48,Geiger,Rudolf,1981
67,Keen,"Bernard A. ",1981
56,Hagem,Oscar,1982
85,Normand,"Charles William Blyth",1982
116,Siriez,Henri,1982
77,"Lorente Pérez","Jose Maria",1983
84,Nagle,"Austen H.",1984
19,Boughner,"Clarence Clarkson",1985
66,Jacobs,"Woodrow Cooper",1990
79,Mariolopulos,"Elias G.",1991
98,Ripley,"Philip Oscar",1991
52,Godard,Marcelin,1994
15,Bernard,"Etienne A.",1998
23,Burgos,"Juan Jacinto",1999
